geo_code,bus_stops_per_km2
E01000001,50.6987388691993
E01000002,18.194815306725264
E01000003,0.0
E01000005,42.31291807832802
E01000006,0.0
E01000007,14.239169653471093
E01000008,0.0
E01000009,57.51462139305877
E01000011,21.32706472955232
E01000012,14.778354455668435
E01000013,39.38710040746298
E01000014,0.0
E01000015,3.613467338363567
E01000016,5.269333115821737
E01000017,27.163869759004225
E01000018,6.694365214953712
E01000019,24.49194267221176
E01000020,23.083125826003652
E01000021,19.25785964347367
E01000022,0.0
E01000024,29.611066135457275
E01000025,0.0
E01000027,8.600195583682309
E01000028,0.0
E01000029,13.761790619805755
E01000030,15.854277601362474
E01000031,4.721299204310736
E01000032,2.6610753954284094
E01000033,0.0
E01000034,13.318108873093829
E01000035,27.756143508359695
E01000036,9.760284891316866
E01000037,0.0
E01000038,14.928341152875488
E01000039,1.757795640139143
E01000040,21.268681319219287
E01000041,19.981853286573056
E01000042,12.690502317673714
E01000043,9.097903471458638
E01000044,0.0
E01000045,18.332680228910515
E01000046,0.0
E01000049,17.30459393098922
E01000050,23.74475890066864
E01000051,0.0
E01000052,13.882112306157058
E01000053,5.30506466781722
E01000054,0.0
E01000055,0.0
E01000056,4.174990938403703
E01000057,36.525479032193026
E01000058,20.11911714553283
E01000059,0.0
E01000060,15.343997542585836
E01000061,8.42110568193157
E01000062,12.857807514578656
E01000063,17.466527586524393
E01000064,22.317608808192023
E01000065,11.978476765083954
E01000066,0.0
E01000067,11.14285491693732
E01000068,5.307977181326831
E01000069,7.712161517735027
E01000070,23.04487128801071
E01000071,6.268718377783218
E01000072,7.664485853797492
E01000073,13.828049854764197
E01000074,6.8136399763663125
E01000075,10.818061813259911
E01000076,0.0
E01000077,18.036184070343932
E01000078,29.032921821755146
E01000079,6.013725656194883
E01000080,11.588340129606628
E01000081,0.0
E01000082,24.09332530521276
E01000083,34.41656925652038
E01000084,30.03545333955364
E01000085,21.501192675860132
E01000086,11.264729344830931
E01000087,26.347132840387992
E01000088,9.285437941697493
E01000089,0.0
E01000090,2.9701088907509434
E01000091,22.775141508819374
E01000093,16.306144931018117
E01000094,22.0823460904436
E01000095,7.725592727054135
E01000096,9.056926075872447
E01000097,30.50016986658067
E01000098,12.283979221518697
E01000099,15.287414636962732
E01000100,0.0
E01000101,4.9867649942829635
E01000102,9.957163182092685
E01000103,7.126027747673632
E01000104,34.44945517503744
E01000105,12.401431188276822
E01000106,14.85692889457615
E01000107,0.0
E01000108,4.434701584391263
E01000110,13.638396851050532
E01000111,17.967407922911644
E01000112,11.732157247588066
E01000113,18.409499207532864
E01000114,11.480108699199778
E01000115,11.718515107569111
E01000116,18.958998198098236
E01000117,8.824298839679852
E01000118,23.417956400502582
E01000119,2.11152272978517
E01000120,17.486873599916457
E01000121,5.529791357029789
E01000122,19.21107555146483
E01000123,8.1410336993418
E01000124,20.450044836916838
E01000126,18.520043200379554
E01000127,21.812084626226635
E01000128,4.7619496796869525
E01000129,53.97818530959546
E01000130,12.909035014284369
E01000131,2.7579138188833228
E01000132,0.0
E01000133,15.49415346741703
E01000134,37.06406755568361
E01000135,6.208044398693431
E01000136,7.405795045804993
E01000137,9.082205299525308
E01000138,17.890717414927465
E01000139,27.486511990523326
E01000140,47.23993714667965
E01000141,32.86803259403094
E01000142,0.0
E01000143,19.053068969722162
E01000144,26.070830749215183
E01000145,10.172273853334387
E01000146,46.844363346188274
E01000147,9.64462775350437
E01000150,2.363975966827865
E01000151,41.717337266010986
E01000152,31.64142378133026
E01000153,5.248528729552197
E01000154,11.75110898162933
E01000156,18.896015250202357
E01000157,0.0
E01000158,3.0763737873142354
E01000159,6.009658983898806
E01000160,9.819158534619866
E01000161,33.16847993020688
E01000162,44.21594726644137
E01000163,0.0
E01000164,18.639830982746474
E01000165,0.0
E01000166,7.455119383712103
E01000167,14.23568228488839
E01000168,3.8158210969412742
E01000169,11.928487073456516
E01000170,3.314543946411708
E01000171,20.168779439122574
E01000172,7.579204638243368
E01000173,10.813759711561957
E01000174,33.26686187257883
E01000175,7.3268816978984175
E01000176,9.382047857294939
E01000177,0.0
E01000178,5.075118001239583
E01000179,0.0
E01000180,11.138271803920093
E01000181,19.544008767230768
E01000182,22.30746562331783
E01000183,22.597311982334208
E01000184,6.903722421172421
E01000185,39.01267734717083
E01000186,17.875128568754896
E01000187,14.967644169931885
E01000188,2.192976102231581
E01000189,20.096187185503727
E01000190,4.517882304294169
E01000191,15.894741686372429
E01000192,22.818058852778453
E01000193,19.021529709766313
E01000194,26.772864098535095
E01000195,6.637171462228825
E01000196,45.54658427337302
E01000197,19.36427340769114
E01000198,9.65218097929493
E01000199,5.778153501966527
E01000200,16.44136421659196
E01000201,17.61974813604342
E01000202,9.91350635208213
E01000203,15.808962090852765
E01000204,8.784454292809489
E01000205,22.71102835635324
E01000206,26.06565130790141
E01000207,26.83953861314775
E01000208,27.8669765121009
E01000209,22.144018442803755
E01000210,27.956585517403884
E01000211,44.2181162005404
E01000212,43.82525311551363
E01000213,17.158981515358555
E01000214,40.629632101679654
E01000215,11.527936295593236
E01000216,0.0
E01000217,0.0
E01000218,25.20954889779223
E01000219,21.0384623785313
E01000220,0.0
E01000221,28.29095553783048
E01000222,20.192709458417625
E01000223,18.77758042398161
E01000224,14.409206890926486
E01000225,2.820418662526579
E01000226,22.784554859559385
E01000227,4.720002000316459
E01000228,2.498674703790701
E01000229,7.3846356215400375
E01000230,18.883199061709554
E01000231,10.01155439410816
E01000232,15.702642160757337
E01000233,20.186036951666054
E01000234,16.88346523655996
E01000235,22.514274460767947
E01000236,16.156107192094055
E01000237,21.902790258170956
E01000238,8.386102627718243
E01000239,14.81018001772288
E01000240,7.822862765693813
E01000241,0.0
E01000242,26.480150152262517
E01000243,27.542848594627895
E01000244,20.53608383514697
E01000245,10.251539728169663
E01000246,5.415683713393596
E01000247,4.066700406827432
E01000248,68.40076936826568
E01000249,2.6569973902196242
E01000250,25.137226746585956
E01000251,24.93964937378261
E01000252,4.2367476367087
E01000253,3.884524766349588
E01000254,8.842195713907918
E01000255,6.734408955525548
E01000256,16.041164528776644
E01000257,19.30788307369381
E01000258,11.217861323053397
E01000259,2.277396198449955
E01000260,6.749162240655683
E01000261,9.013211593421731
E01000263,15.672370816402223
E01000264,25.196625751532704
E01000265,15.487211769006471
E01000266,10.57600332141955
E01000267,30.490154643382542
E01000268,27.94211789894088
E01000269,12.074085499656286
E01000270,12.36700967909149
E01000271,18.81388105466441
E01000272,15.703280695029214
E01000273,38.115213209301984
E01000274,21.21429866052196
E01000275,13.80853116456408
E01000276,4.911139763867732
E01000277,19.789780766940954
E01000278,14.689255129151395
E01000279,3.36096086536131
E01000280,7.606000117529534
E01000281,40.420155205887454
E01000282,10.714195223571728
E01000283,19.395648698486344
E01000284,13.059089537340121
E01000285,13.092635234851972
E01000286,30.906153823264347
E01000287,22.981404432996754
E01000288,61.835657277524554
E01000289,2.8949090332879295
E01000290,2.8925136296641973
E01000291,0.0
E01000292,17.51164848461911
E01000293,5.258715310498965
E01000294,3.295817040709761
E01000295,12.53718808212692
E01000296,34.47087947509652
E01000297,21.69532052259958
E01000298,19.011860986870015
E01000299,8.049586244191373
E01000300,0.0
E01000301,30.117587433041074
E01000302,24.696420679534288
E01000303,7.386079106869613
E01000304,7.375687185623488
E01000305,6.532357810331474
E01000306,0.0
E01000307,11.214687703326797
E01000308,1.8638052509258434
E01000309,23.745342237552187
E01000310,25.135529952175734
E01000311,11.4440228567812
E01000312,19.454657510171135
E01000313,30.344319416553112
E01000314,17.680287895105486
E01000315,13.18748123968458
E01000316,24.79438414669098
E01000317,0.0
E01000318,14.854488567385115
E01000319,10.379383747407237
E01000320,0.0
E01000321,62.21481730604791
E01000322,19.233613651357114
E01000323,59.926825008063425
E01000324,33.184113647682395
E01000325,12.094870413492979
E01000326,24.516264029376806
E01000327,20.732150892932438
E01000328,6.700148466788224
E01000329,10.48441681558621
E01000330,47.66937596760922
E01000331,8.027258508508663
E01000332,17.44113758017667
E01000333,21.258986931559686
E01000334,12.091541636593284
E01000335,10.23695847751986
E01000336,26.77414234383087
E01000337,3.877499583899622
E01000338,10.772878779865284
E01000339,0.0
E01000340,16.70151799560956
E01000341,0.0
E01000342,8.660096989914726
E01000343,18.511831789499386
E01000344,25.086326460700377
E01000345,18.216807591130625
E01000346,6.906631743071543
E01000347,36.62089649914199
E01000348,0.0
E01000349,17.604272347284315
E01000350,12.61588122292638
E01000351,0.0
E01000352,29.7138698445055
E01000353,26.505894836418253
E01000354,23.901692893089383
E01000355,0.0
E01000356,20.111064609679723
