geo_code,pct_unemployed
E01011954,6.808943089430894
E01011969,5.862068965517241
E01011970,2.4667931688804554
E01011971,2.4
E01033465,2.9182879377431905
E01033467,2.0590868397493285
E01011952,8.228980322003578
E01011953,13.353566009104703
E01011991,6.743185078909613
E01011992,7.701564380264742
E01011993,13.881019830028329
E01011994,14.314115308151093
E01011955,10.12396694214876
E01011957,9.31174089068826
E01032540,7.264957264957266
E01032541,6.393244873341375
E01033466,10.421545667447308
E01011951,12.132352941176471
E01011964,8.795411089866157
E01011967,4.925373134328359
E01011999,16.75213675213675
E01012000,14.572864321608039
E01011950,15.25
E01011986,7.241379310344828
E01011987,8.460236886632826
E01012001,9.252217997465145
E01011949,6.594885598923284
E01011980,8.225806451612904
E01011981,10.1010101010101
E01011984,3.6363636363636362
E01011985,4.903677758318739
E01011988,5.844980940279543
E01011989,6.336088154269973
E01011990,4.846335697399527
E01011995,4.847396768402154
E01011996,5.752961082910321
E01011997,2.1052631578947367
E01011998,2.7370478983382207
E01011961,5.1020408163265305
E01011962,6.923076923076923
E01011977,9.657320872274143
E01011978,13.846153846153847
E01011979,8.925318761384334
E01011959,2.2964509394572024
E01011960,3.302752293577982
E01011963,3.758169934640523
E01011968,4.6538024971623155
E01011982,2.0935960591133003
E01012003,5.3984575835475574
E01012005,2.7210884353741496
E01011965,2.666666666666667
E01011966,5.196850393700787
E01011974,8.309859154929578
E01011975,10.256410256410255
E01011983,3.015075376884422
E01012002,6.231003039513678
E01035188,14.000000000000002
E01012068,20.833333333333336
E01012092,15.598885793871867
E01012093,12.27106227106227
E01035189,21.666666666666668
E01035190,18.162393162393162
E01035191,7.482014388489208
E01035192,10.48951048951049
E01012058,18.998272884283246
E01012059,12.919463087248323
E01012060,11.149825783972126
E01012061,9.879032258064516
E01012036,15.134099616858238
E01012037,15.789473684210526
E01012038,13.346613545816732
E01012039,21.377672209026127
E01012040,20.299145299145298
E01012041,12.040133779264215
E01012074,6.406249999999999
E01012075,10.149750415973378
E01012076,15.50925925925926
E01012077,7.2727272727272725
E01012088,6.359945872801083
E01012078,11.908931698774081
E01012079,6.1946902654867255
E01012080,6.796116504854369
E01012081,7.860262008733625
E01012026,4.371002132196162
E01012027,8.58257477243173
E01033469,12.102689486552567
E01012015,11.876075731497417
E01012016,10.95679012345679
E01012017,5.901116427432217
E01012089,13.77245508982036
E01012090,14.801444043321299
E01012091,11.079943899018232
E01012011,10.443864229765012
E01012012,6.049822064056939
E01012013,7.656250000000001
E01012014,7.550335570469799
E01012053,4.597701149425287
E01012054,6.143790849673202
E01012055,4.85207100591716
E01012056,5.887939221272555
E01012057,5.64042303172738
E01012082,7.332293291731669
E01012083,10.032362459546926
E01012084,13.23283082077052
E01012085,8.361774744027302
E01012018,5.330882352941177
E01012019,13.550135501355012
E01012020,8.589951377633712
E01012021,7.569721115537849
E01012007,4.100946372239748
E01012008,5.714285714285714
E01012009,4.695304695304695
E01012010,3.869047619047619
E01012046,4.724409448818897
E01012047,5.019815059445178
E01012048,5.043050430504305
E01012049,5.333333333333334
E01012050,11.051693404634582
E01012051,7.6190476190476195
E01012052,6.653620352250488
E01012022,3.6007580543272266
E01012023,3.4608378870673953
E01012024,4.178272980501393
E01012025,1.9047619047619049
E01012065,2.8014616321559074
E01012066,1.7543859649122806
E01012067,3.588907014681892
E01012042,7.226890756302522
E01012043,6.179775280898876
E01012044,10.444874274661508
E01012045,14.253897550111358
E01032552,6.117021276595745
E01035193,2.766798418972332
E01035194,2.781456953642384
E01012030,1.8691588785046727
E01012031,4.713804713804714
E01012032,4.326923076923077
E01012033,8.071748878923767
E01012034,3.260869565217391
E01012035,6.923076923076923
E01012062,3.6571428571428575
E01012063,4.3029259896729775
E01012071,2.6785714285714284
E01012073,2.9173419773095626
E01032593,3.5000000000000004
E01035195,3.0335861321776814
E01035196,2.7874564459930316
E01012100,15.3713298791019
E01012101,8.937605396290051
E01012102,10.616784630940344
E01012184,5.320813771517996
E01012105,3.7151702786377707
E01012142,5.013927576601671
E01012143,7.766990291262135
E01012144,4.88599348534202
E01012106,5.396290050590219
E01012107,6.680161943319838
E01032560,3.195488721804511
E01032561,8.545454545454545
E01012176,2.903225806451613
E01012177,3.881987577639751
E01012178,3.4161490683229814
E01012179,3.571428571428571
E01012180,1.770956316410862
E01012185,6.570512820512821
E01012186,3.9589442815249267
E01012127,16.091954022988507
E01012128,9.533468559837727
E01012129,3.937007874015748
E01012130,3.557312252964427
E01012131,12.142857142857142
E01012138,2.757229320780094
E01012139,3.372243839169909
E01012140,8.379888268156424
E01012141,3.160270880361174
E01012154,1.7857142857142856
E01012155,6.955380577427822
E01012156,4.25531914893617
E01012157,4.011887072808321
E01012158,4.089219330855019
E01012159,6.122448979591836
E01012160,3.4710743801652892
E01012161,4.1269841269841265
E01012113,14.538310412573674
E01012114,19.60352422907489
E01012175,11.76470588235294
E01033471,13.440860215053762
E01012095,4.007285974499089
E01012097,2.977667493796526
E01012098,5.4519368723099
E01012099,9.642857142857144
E01012108,7.1065989847715745
E01012109,5.741626794258373
E01012110,5.0304878048780495
E01012111,6.903353057199212
E01012171,7.039711191335741
E01012172,6.434782608695652
E01012162,3.915171288743882
E01012163,2.464788732394366
E01012164,5.4411764705882355
E01012165,6.860706860706861
E01012096,9.899328859060402
E01012136,8.085808580858085
E01033473,8.823529411764707
E01012112,16.883116883116884
E01012145,5.4411764705882355
E01012147,3.6101083032490973
E01012149,3.3932135728542914
E01012132,8.198924731182796
E01012134,4.6966731898238745
E01012137,5.517241379310345
E01012181,7.12290502793296
E01012117,7.816091954022989
E01012118,6.462585034013606
E01012119,6.7596566523605155
E01012121,11.324376199616124
E01032548,2.711864406779661
E01032549,2.033598585322723
E01033472,5.422222222222222
E01012120,2.5316455696202533
E01012124,1.5948963317384368
E01012182,0.6224066390041494
E01012183,2.9005524861878453
E01012148,13.743218806509946
E01012150,9.180327868852459
E01012151,3.2710280373831773
E01012152,3.2066508313539197
E01032594,2.405498281786942
E01012146,1.8633540372670807
E01012167,5.170821791320406
E01012168,7.5575027382256295
E01012170,16.30170316301703
E01012173,4.536489151873767
E01012174,3.815261044176707
E01033470,11.987860394537178
E01012242,2.96875
E01012243,3.2171581769436997
E01012244,4.888268156424581
E01012246,4.804804804804805
E01012296,2.2988505747126435
E01012297,2.6943802925327174
E01012197,7.054455445544554
E01012256,5.150214592274678
E01012257,4.186046511627907
E01012275,6.11353711790393
E01012276,7.731958762886598
E01012277,5.540540540540541
E01012196,4.815864022662889
E01012198,8.771929824561402
E01012214,6.286549707602338
E01012215,8.405172413793103
E01012216,6.601941747572816
E01012245,10.805860805860807
E01012278,4.961832061068702
E01012279,3.6540803897685747
E01012280,3.7037037037037033
E01012281,9.057301293900185
E01012255,4.1928721174004195
E01012269,1.7615176151761516
E01012294,4.090909090909091
E01012295,7.987220447284344
E01033476,2.034587995930824
E01033480,3.148024112525117
E01012210,1.1851851851851851
E01012211,3.0208333333333335
E01012212,3.770739064856712
E01012213,6.12691466083151
